w,q2,cos_theta,phi,y,yerr
1.2,1.5,-0.4,1.5708,70.5,8.39643
1.2,1.5,-0.2,0.942478,12.6667,3.55903
1.2,1.5,-0.2,1.5708,79,8.88819
1.2,1.5,-0.2,4.71239,81,9
1.2,1.5,-0.2,5.02655,24.5,4.94975
1.2,1.5,-0.2,5.34071,46,6.78233
1.2,1.5,0,0.942478,0.283784,0.532714
1.2,1.5,0,1.25664,14.6667,3.82971
1.2,1.5,0,1.88496,6.41667,2.53311
1.2,1.5,0,2.19911,1.83333,1.35401
1.2,1.5,0,2.51327,0.585366,0.765092
1.2,1.5,0,3.14159,1,1
1.2,1.5,0,3.45575,2.53846,1.59326
1.2,1.5,0,3.76991,0.416667,0.645497
1.2,1.5,0,4.08407,6.25,2.5
1.2,1.5,0,4.71239,31.3333,5.59762
1.2,1.5,0,5.02655,6.5,2.54951
1.2,1.5,0,5.34071,5.75,2.39792
1.2,1.5,0,5.65487,15,3.87298
1.2,1.5,0,5.96903,0.428571,0.654654
1.2,1.5,0.2,1.25664,2.11765,1.45521
1.2,1.5,0.2,1.5708,0.853659,0.923936
1.2,1.5,0.2,2.51327,0.651515,0.807165
1.2,1.5,0.2,3.14159,0.88,0.938083
1.2,1.5,0.2,3.45575,0.280488,0.529611
1.2,1.5,0.2,3.76991,1.41379,1.18903
1.2,1.5,0.2,4.08407,0.631579,0.794719
1.2,1.5,0.2,4.39823,0.0873786,0.295599
1.2,1.5,0.2,5.34071,1.17333,1.08321
1.2,1.5,0.4,1.25664,0.0705882,0.265684
1.2,1.5,0.4,1.88496,0.0243902,0.156174
1.2,1.5,0.4,2.19911,0.153571,0.391882
1.2,1.5,0.4,2.51327,0.540541,0.735215
1.2,1.5,0.4,2.82743,0.23301,0.482711
1.2,1.5,0.4,3.45575,0.174699,0.41797
1.2,1.5,0.4,3.76991,0.145015,0.380808
1.2,1.5,0.4,4.39823,0.131148,0.362143
1.2,1.5,0.4,5.34071,0.059322,0.243561
1.2,1.5,0.6,0.628319,0.00908059,0.0952921
1.2,1.5,0.6,1.25664,0.00324149,0.0569341
1.2,1.5,0.6,1.88496,0.0790378,0.281137
1.2,1.5,0.6,2.19911,0.0693431,0.263331
1.2,1.5,0.6,2.82743,0.0192308,0.138675
1.2,1.5,0.6,3.76991,0.0767386,0.277017
1.2,1.5,0.6,4.08407,0.0619048,0.248807
1.2,1.5,0.6,4.39823,0.065442,0.255816
1.2,1.5,0.6,5.02655,0.03,0.173205
1.2,1.5,0.6,5.34071,0.00921187,0.0959785
1.2,1.5,0.6,5.65487,0.00479616,0.0692543
1.2,1.5,0.8,0.628319,0.0149573,0.1223
1.2,1.5,0.8,1.5708,0.0505768,0.224893
1.2,1.5,0.8,1.88496,0.0612245,0.247436
1.2,1.5,0.8,2.19911,0.0753647,0.274526
1.2,1.5,0.8,2.51327,0.0333087,0.182507
1.2,1.5,0.8,2.82743,0.0319001,0.178606
1.2,1.5,0.8,3.14159,0.0241636,0.155446
1.2,1.5,0.8,3.45575,0.032908,0.181406
1.2,1.5,0.8,3.76991,0.0978474,0.312806
1.2,1.5,0.8,4.08407,0.134711,0.36703
1.2,1.5,0.8,4.39823,0.0556777,0.235961
1.2,1.5,0.8,4.71239,0.035313,0.187918
1.2,2,-0.4,1.5708,2790,52.8205
1.2,2,-0.2,0.942478,460,21.4476
1.2,2,-0.2,1.25664,283,16.8226
1.2,2,-0.2,1.5708,1764,42
1.2,2,-0.2,1.88496,61.5,7.84219
1.2,2,-0.2,2.51327,79,8.88819
1.2,2,-0.2,2.82743,246,15.6844
1.2,2,-0.2,3.14159,416,20.3961
1.2,2,-0.2,3.45575,35,5.91608
1.2,2,-0.2,5.34071,546,23.3666
1.2,2,-0.2,5.65487,86.6667,9.30949
1.2,2,0,0.628319,26,5.09902
1.2,2,0,0.942478,37,6.08276
1.2,2,0,1.25664,1275,35.7071
1.2,2,0,1.5708,628,25.0599
1.2,2,0,1.88496,40,6.32456
1.2,2,0,2.19911,21.3462,4.62019
1.2,2,0,2.51327,36,6
1.2,2,0,2.82743,72.6,8.52056
1.2,2,0,3.45575,24.0909,4.90825
1.2,2,0,3.76991,28.6667,5.35413
1.2,2,0,4.08407,85.5,9.24662
1.2,2,0,4.39823,1.025,1.01242
1.2,2,0,4.71239,97,9.84886
1.2,2,0,5.02655,31.7241,5.63242
1.2,2,0,5.34071,7.47664,2.73434
1.2,2,0,5.65487,6.47059,2.54374
1.2,2,0,5.96903,1,1
1.2,2,0.2,0.942478,1.7551,1.3248
1.2,2,0.2,1.25664,2,1.41421
1.2,2,0.2,1.5708,2.47291,1.57255
1.2,2,0.2,1.88496,2.06849,1.43823
1.2,2,0.2,2.19911,0.896797,0.946994
1.2,2,0.2,2.51327,11.2,3.34664
1.2,2,0.2,2.82743,3.64286,1.90863
1.2,2,0.2,3.14159,1.51445,1.23063
1.2,2,0.2,3.45575,14.4348,3.79931
1.2,2,0.2,3.76991,18.6316,4.31643
1.2,2,0.2,4.08407,14.1463,3.76116
1.2,2,0.2,4.39823,14.7368,3.83886
1.2,2,0.2,4.71239,2.61856,1.6182
1.2,2,0.2,5.02655,9.01163,3.00194
1.2,2,0.2,5.34071,3.9292,1.98222
1.2,2,0.2,5.65487,0.833333,0.912871
1.2,2,0.4,0.314159,0.336735,0.580288
1.2,2,0.4,0.628319,0.0231214,0.152057
1.2,2,0.4,0.942478,0.0886918,0.297812
1.2,2,0.4,1.25664,0.167897,0.409752
1.2,2,0.4,1.5708,0.156202,0.395224
1.2,2,0.4,1.88496,0.980952,0.99043
1.2,2,0.4,2.19911,0.843537,0.918443
1.2,2,0.4,2.51327,2.49612,1.57991
1.2,2,0.4,2.82743,2.98077,1.72649
1.2,2,0.4,3.14159,1.96322,1.40115
1.2,2,0.4,3.45575,1.18574,1.08891
1.2,2,0.4,3.76991,2.56831,1.60259
1.2,2,0.4,4.08407,2.5777,1.60552
1.2,2,0.4,4.39823,6.44037,2.53779
1.2,2,0.4,4.71239,0.418712,0.647079
1.2,2,0.4,5.02655,0.152098,0.389997
1.2,2,0.4,5.34071,0.328713,0.573335
1.2,2,0.4,5.96903,0.0426288,0.206467
1.2,2,0.6,0.314159,0.0340788,0.184604
1.2,2,0.6,0.628319,0.129801,0.36028
1.2,2,0.6,0.942478,0.0545685,0.233599
1.2,2,0.6,1.88496,0.295337,0.543449
1.2,2,0.6,2.19911,1.34652,1.16039
1.2,2,0.6,2.51327,1.1138,1.05537
1.2,2,0.6,2.82743,0.690402,0.830905
1.2,2,0.6,3.14159,0.617496,0.785809
1.2,2,0.6,3.45575,0.368308,0.606884
1.2,2,0.6,3.76991,0.203545,0.451159
1.2,2,0.6,4.08407,2.15647,1.46849
1.2,2,0.6,4.39823,2.55357,1.59799
1.2,2,0.6,4.71239,0.544747,0.73807
1.2,2,0.6,5.02655,0.152297,0.390253
1.2,2,0.6,5.34071,0.215116,0.463806
1.2,2,0.6,5.65487,0.0472779,0.217435
1.2,2,0.8,0.314159,0.0434646,0.208482
1.2,2,0.8,0.628319,0.0777903,0.278909
1.2,2,0.8,0.942478,0.197859,0.444814
1.2,2,0.8,1.25664,0.211611,0.460012
1.2,2,0.8,1.5708,0.398525,0.631288
1.2,2,0.8,1.88496,0.646126,0.80382
1.2,2,0.8,2.19911,0.745449,0.863394
1.2,2,0.8,2.51327,0.32715,0.57197
1.2,2,0.8,2.82743,0.254307,0.504288
1.2,2,0.8,3.14159,0.275648,0.525022
1.2,2,0.8,3.45575,0.341669,0.584525
1.2,2,0.8,3.76991,0.18932,0.43511
1.2,2,0.8,4.08407,0.613229,0.78309
1.2,2,0.8,4.39823,0.781756,0.88417
1.2,2,0.8,4.71239,0.465536,0.682302
1.2,2,0.8,5.02655,0.224,0.473286
1.2,2,0.8,5.34071,0.177872,0.421748
1.2,2,0.8,5.65487,0.134774,0.367116
1.2,2,0.8,5.96903,0.0185573,0.136225
1.2,2.5,0.2,0.628319,0.135802,0.368514
1.2,2.5,0.2,1.25664,35,5.91608
1.2,2.5,0.2,1.5708,50,7.07107
1.2,2.5,0.2,1.88496,8.66667,2.94392
1.2,2.5,0.2,2.19911,372,19.2873
1.2,2.5,0.2,2.51327,108,10.3923
1.2,2.5,0.2,2.82743,156.667,12.5167
1.2,2.5,0.2,4.08407,37.3636,6.11258
1.2,2.5,0.2,5.02655,79,8.88819
1.2,2.5,0.2,5.65487,3,1.73205
1.2,2.5,0.4,0.314159,0.471429,0.686607
1.2,2.5,0.4,1.25664,1.09804,1.04787
1.2,2.5,0.4,1.5708,0.646552,0.804084
1.2,2.5,0.4,1.88496,2.08163,1.44279
1.2,2.5,0.4,2.19911,7.60976,2.75858
1.2,2.5,0.4,2.51327,3.8835,1.97066
1.2,2.5,0.4,2.82743,6.55263,2.55981
1.2,2.5,0.4,3.14159,37.5385,6.12686
1.2,2.5,0.4,3.45575,3.38776,1.84059
1.2,2.5,0.4,3.76991,1.16438,1.07907
1.2,2.5,0.4,4.08407,12.9762,3.60225
1.2,2.5,0.4,4.39823,7.74194,2.78243
1.2,2.5,0.4,4.71239,3.39286,1.84197
1.2,2.5,0.4,5.02655,2.31818,1.52256
1.2,2.5,0.4,5.34071,0.55102,0.742307
1.2,2.5,0.4,5.65487,0.294872,0.543021
1.2,2.5,0.6,0.314159,0.0468085,0.216353
1.2,2.5,0.6,0.628319,0.294545,0.54272
1.2,2.5,0.6,1.25664,0.52439,0.724148
1.2,2.5,0.6,1.5708,0.522388,0.722764
1.2,2.5,0.6,1.88496,0.797153,0.892834
1.2,2.5,0.6,2.19911,2.05805,1.43459
1.2,2.5,0.6,2.51327,0.954545,0.977008
1.2,2.5,0.6,2.82743,2.65385,1.62906
1.2,2.5,0.6,3.14159,0.850829,0.922404
1.2,2.5,0.6,3.45575,0.253456,0.503444
1.2,2.5,0.6,3.76991,2.07035,1.43887
1.2,2.5,0.6,4.08407,2.45815,1.56785
