Measurement E8M1
Title: E89-038 CLAS experiment
Spokespersons: V. Burkert, R. Minehart
Year: 1999
Q^2 range: 0.25 - 0.35
W range: 1.1 - 1.12
Epsilon is not available
Data:
Beam energy	theta_pi	phi_pi	dsigma/dOmega	Data errors
GeV	deg	deg	mcbn/sterad	mcbn/sterad
1.515	7.5	15	15.37	5.217
1.515	7.5	45	4.511	1.682
1.515	7.5	75	4.478	1.547
1.515	7.5	105	5.136	1.457
1.515	7.5	135	5.078	1.123
1.515	7.5	165	5.875	2.016
1.515	7.5	195	5.084	1.983
1.515	7.5	225	6.273	1.716
1.515	7.5	255	10.64	3.299
1.515	7.5	285	3.248	0.8509
1.515	7.5	315	3.49	1.565
1.515	7.5	345	2.533	0.873
1.515	22.5	15	3.129	0.628
1.515	22.5	45	2.639	0.4666
1.515	22.5	75	3.589	0.5794
1.515	22.5	105	4.842	0.7029
1.515	22.5	135	5.07	0.7809
1.515	22.5	165	5.759	1.078
1.515	22.5	195	5.542	0.8599
1.515	22.5	225	5.507	0.8328
1.515	22.5	255	5.13	0.843
1.515	22.5	285	4.396	0.657
1.515	22.5	315	5.06	0.8829
1.515	22.5	345	2.198	0.4541
1.515	37.5	15	2.325	0.4178
1.515	37.5	45	3.496	0.7745
1.515	37.5	75	4.476	1.365
1.515	37.5	105	5.276	0.7831
1.515	37.5	135	5.487	0.6487
1.515	37.5	165	4.644	0.6007
1.515	37.5	195	7.462	1.083
1.515	37.5	225	6.022	0.7469
1.515	37.5	255	6.269	1.419
1.515	37.5	285	3.345	0.7848
1.515	37.5	315	2.819	0.6852
1.515	37.5	345	2.178	0.3893
1.515	52.5	75	3.377	0.993
1.515	52.5	135	7.008	0.9665
1.515	52.5	165	5.859	0.6565
1.515	52.5	195	6.266	0.633
1.515	52.5	225	6.578	1.008
1.515	52.5	345	3.281	1.533
1.515	67.5	45	1.704	0.3243
1.515	67.5	75	3.747	0.495
1.515	67.5	105	5.557	1.35
1.515	67.5	135	9.01	1.758
1.515	67.5	165	5.023	0.4217
1.515	67.5	195	5.098	0.4392
1.515	67.5	225	5.526	1.379
1.515	67.5	255	6.707	2.027
1.515	67.5	285	3.493	0.4543
1.515	67.5	315	1.949	0.483
1.515	82.5	45	2.258	0.506
1.515	82.5	75	4.951	0.7095
1.515	82.5	105	5.273	0.5417
1.515	82.5	135	6.025	2.075
1.515	82.5	165	4.439	0.4801
1.515	82.5	195	4.568	0.4656
1.515	82.5	225	3.468	0.6595
1.515	82.5	255	3.696	0.4607
1.515	82.5	285	4.561	0.482
1.515	82.5	315	2.78	0.485
1.515	97.5	75	4.374	0.5938
1.515	97.5	105	4.75	0.5017
1.515	97.5	135	3.182	0.7444
1.515	97.5	165	4.712	0.6309
1.515	97.5	195	3.681	0.4224
1.515	97.5	225	5.889	2.102
1.515	97.5	255	4.544	0.4748
1.515	97.5	285	4.421	0.487
1.515	112.5	75	7.512	2.01
1.515	112.5	105	5.942	0.7635
1.515	112.5	165	5.211	1.104
1.515	112.5	195	7.247	2.154
1.515	112.5	225	7.347	2.06
1.515	112.5	255	5.462	0.6122
1.515	112.5	285	5.727	1.751
1.515	127.5	45	2.718	1.202
1.515	127.5	75	5.341	2.392
1.515	127.5	105	9.306	2.408
1.515	127.5	255	6.292	1.04
1.515	127.5	315	4.056	2.286
Measurement E8M2
Title: E89-038 CLAS experiment
Spokespersons: V. Burkert, R. Minehart
Year: 1999
Q^2 range: 0.25 - 0.35
W range: 1.12 - 1.14
Epsilon is not available
Data:
Beam energy	theta_pi	phi_pi	dsigma/dOmega	Data errors
GeV	deg	deg	mcbn/sterad	mcbn/sterad
1.515	7.5	15	5.764	1.163
1.515	7.5	45	4.582	0.9815
1.515	7.5	75	8.573	1.706
1.515	7.5	105	6.917	1.453
1.515	7.5	135	4.866	0.9562
1.515	7.5	165	6.476	1.249
1.515	7.5	195	7.405	1.873
1.515	7.5	225	9.343	2.345
1.515	7.5	255	6.814	1.398
1.515	7.5	285	4.937	1.104
1.515	7.5	315	7.451	2.541
1.515	7.5	345	4.171	1.011
1.515	22.5	15	4.405	0.639
1.515	22.5	45	4.336	0.569
1.515	22.5	75	5.18	0.6376
1.515	22.5	105	6.012	0.6157
1.515	22.5	135	7.291	0.7579
1.515	22.5	165	7.534	0.8016
1.515	22.5	195	8.33	0.9668
1.515	22.5	225	7.814	0.8495
1.515	22.5	255	6.79	0.6939
1.515	22.5	285	6.007	0.7058
1.515	22.5	315	4.811	0.6551
1.515	22.5	345	3.274	0.5243
1.515	37.5	15	2.541	0.4198
1.515	37.5	45	2.824	1.492
1.515	37.5	75	7.213	2.482
1.515	37.5	105	7.289	0.9977
1.515	37.5	135	7.394	0.6708
1.515	37.5	165	6.878	0.6351
1.515	37.5	195	8.03	0.694
1.515	37.5	225	7.32	0.6417
1.515	37.5	255	6.953	1.213
1.515	37.5	285	10.19	4.623
1.515	37.5	315	2.829	1.302
1.515	37.5	345	2.635	0.605
1.515	52.5	15	1.149	0.3943
1.515	52.5	45	3.748	1.096
1.515	52.5	75	5.127	0.6289
1.515	52.5	135	9.161	1.128
1.515	52.5	165	6.726	0.5796
1.515	52.5	195	7.275	0.5868
1.515	52.5	225	6.786	0.7779
1.515	52.5	285	5.659	0.8659
1.515	52.5	315	4.157	1.057
1.515	67.5	45	3.93	0.4115
1.515	67.5	75	5.905	0.4455
1.515	67.5	105	7.515	0.858
1.515	67.5	135	8.225	1.164
1.515	67.5	165	7.249	0.4544
1.515	67.5	195	6.656	0.4171
1.515	67.5	225	7.119	1.201
1.515	67.5	255	7.256	1.111
1.515	67.5	285	6.731	0.5185
1.515	67.5	315	2.867	0.3283
1.515	82.5	45	3.363	0.4028
1.515	82.5	75	5.952	0.4858
1.515	82.5	105	8.147	0.5841
1.515	82.5	135	7.681	1.505
1.515	82.5	165	5.887	0.4557
1.515	82.5	195	5.849	0.4405
1.515	82.5	225	5.737	0.8511
1.515	82.5	255	8.242	0.5552
1.515	82.5	285	6.081	0.4666
1.515	82.5	315	4.251	0.4278
1.515	97.5	45	3.661	1.503
1.515	97.5	75	7.981	0.712
1.515	97.5	105	7.086	0.4622
1.515	97.5	135	6.28	1.018
1.515	97.5	165	5.958	0.5085
1.515	97.5	195	5.182	0.4298
1.515	97.5	225	7.366	1.936
